City,Coordinates,Pollutant,Unit,Value,Last Updated,Country Label
Ille-et-Vilaine,"47.8319439994659, -1.836667",O3,µg/m³,92.33,2018-04-25T16:00:00+02:00,France
Eure-et-Loir,"48.3904559994671, 1.955953",O3,µg/m³,64.35,2018-04-25T02:00:00+02:00,France
Nord,"50.3585599994727, 3.50793",NO2,µg/m³,9.73,2018-04-25T02:00:00+02:00,France
Nord,"50.3647189994728, 3.523611",PM10,µg/m³,9.18,2018-04-25T02:00:00+02:00,France
Nord,"50.3647189994728, 3.523611",NO2,µg/m³,17.1,2018-04-25T02:00:00+02:00,France
Loiret,"47.8374309994659, 1.944611",NO2,µg/m³,4.88,2018-04-25T02:00:00+02:00,France
Nord,"50.3274999994726, 3.4",PM10,µg/m³,10.4,2018-04-25T02:00:00+02:00,France
Seine-Maritime,"49.4810859994699, 0.165289",NO2,µg/m³,13.63,2018-02-02T15:00:00+01:00,France
Puy-de-Dôme,"45.5449339994633, 3.247649",NO2,µg/m³,28.45,2017-12-20T10:00:00+01:00,France
Aisne,"49.9205559994713, 4.090556",O3,µg/m³,39.13,2017-10-11T12:00:00+02:00,France
ATMO PICARDIE,"49.2978953606785, 2.51744773536939",NO2,µg/m³,10.93,2017-03-28T18:00:00+02:00,France
AIR NORMAND,"49.4414447487293, 1.08265856357369",PM10,µg/m³,52.0,2016-12-05T18:00:00+01:00,France
AIR RHONE ALPES,"45.3895622059041, 4.61581342439134",O3,µg/m³,35.5,2016-11-29T02:00:00+01:00,France
Hérault,"43.6953675407432, 3.8008168828739",O3,µg/m³,51.0,2023-02-27T06:00:00+01:00,France
Nord,"51.0194221752014, 2.25098945579386",NO2,µg/m³,8.5,2023-02-27T06:00:00+01:00,France
Nord,"50.9810365881355, 2.14317365539383",SO2,µg/m³,1.0,2023-02-27T06:00:00+01:00,France
Marne,"49.2507146918556, 4.02306008416507",PM2.5,µg/m³,1.9,2023-02-27T05:00:00+01:00,France
Haute-Garonne,"43.6236195829158, 1.43860701175321",O3,µg/m³,60.4,2021-05-17T05:00:00+02:00,France
Gironde,"44.8655508803546, -0.939440157826513",O3,µg/m³,61.4,2023-02-27T06:00:00+01:00,France
Pyrénées-Atlantiques,"43.4096886382817, -0.67166674467503",SO2,µg/m³,2.0,2023-02-27T06:00:00+01:00,France
Bas-Rhin,"48.4930125168175, 7.12980264591687",PM2.5,µg/m³,3.0,2023-02-27T06:00:00+01:00,France
Isère,"45.3601559563041, 5.58941651247292",O3,µg/m³,37.1,2023-02-27T06:00:00+01:00,France
Vosges,"48.1727946380621, 6.45281428149871",PM10,µg/m³,3.6,2023-02-27T06:00:00+01:00,France
Isère,"45.6082391731948, 5.27087391272413",O3,µg/m³,50.4,2023-02-27T06:00:00+01:00,France
